Instance                  W    H  MaxH Blocks    Moves     c     time
../v3/data/data3-6-30.dat   6  3    5  18           7       2     0
../v3/data/data3-6-31.dat   6  3    5  18           9       2     0
../v3/data/data3-6-32.dat   6  3    5  18           7       2     0
../v3/data/data3-6-33.dat   6  3    5  18           7       2     0
../v3/data/data3-6-34.dat   6  3    5  18           7       2     0
../v3/data/data3-6-35.dat   6  3    5  18           4       2     0
../v3/data/data3-6-36.dat   6  3    5  18           8       2     0
../v3/data/data3-6-37.dat   6  3    5  18          11       2     0
../v3/data/data3-6-38.dat   6  3    5  18           9       2     0
../v3/data/data3-6-39.dat   6  3    5  18           7       2     0
../v3/data/data3-6-40.dat   6  3    5  18           8       2     0
../v3/data/data3-7-1.dat   7   3   5  21           7       3     0
../v3/data/data3-7-2.dat   7   3   5  21          10       3     0
../v3/data/data3-7-3.dat   7   3   5  21           9       3     0
../v3/data/data3-7-4.dat   7   3   5  21           8       3     0
../v3/data/data3-7-5.dat   7   3   5  21          12       3     0
../v3/data/data3-7-6.dat   7   3   5  21           9       3     0
../v3/data/data3-7-7.dat   7   3   5  21          12       3     0
../v3/data/data3-7-8.dat   7   3   5  21           9       3     0
../v3/data/data3-7-9.dat   7   3   5  21          11       3     0
../v3/data/data3-7-10.dat   7  3    5  21           7       3     0
../v3/data/data3-7-11.dat   7  3    5  21           9       3     0
../v3/data/data3-7-12.dat   7  3    5  21           7       3     0
../v3/data/data3-7-13.dat   7  3    5  21          10       3     0
../v3/data/data3-7-14.dat   7  3    5  21           9       3     0
../v3/data/data3-7-15.dat   7  3    5  21           6       3     0
../v3/data/data3-7-16.dat   7  3    5  21           9       3     0
../v3/data/data3-7-17.dat   7  3    5  21          10       3     0
../v3/data/data3-7-18.dat   7  3    5  21           7       3     0
../v3/data/data3-7-19.dat   7  3    5  21          11       3     0
../v3/data/data3-7-20.dat   7  3    5  21           7       3     0
../v3/data/data3-7-21.dat   7  3    5  21           9       3     0
../v3/data/data3-7-22.dat   7  3    5  21          14       3     0
../v3/data/data3-7-23.dat   7  3    5  21           8       3     0
../v3/data/data3-7-24.dat   7  3    5  21           6       3     0
../v3/data/data3-7-25.dat   7  3    5  21           9       3     0
../v3/data/data3-7-26.dat   7  3    5  21          11       3     0
../v3/data/data3-7-27.dat   7  3    5  21          13       3     0
../v3/data/data3-7-28.dat   7  3    5  21           8       3     0
../v3/data/data3-7-29.dat   7  3    5  21          12       3     0
../v3/data/data3-7-30.dat   7  3    5  21          10       3     0
../v3/data/data3-7-31.dat   7  3    5  21           8       3     0
../v3/data/data3-7-32.dat   7  3    5  21          10       3     0
../v3/data/data3-7-33.dat   7  3    5  21          13       3 0.004
../v3/data/data3-7-34.dat   7  3    5  21           9       3     0
../v3/data/data3-7-35.dat   7  3    5  21          11       3     0
../v3/data/data3-7-36.dat   7  3    5  21           7       3     0
../v3/data/data3-7-37.dat   7  3    5  21           8       3     0
../v3/data/data3-7-38.dat   7  3    5  21          11       3     0
../v3/data/data3-7-39.dat   7  3    5  21           6       3     0
../v3/data/data3-7-40.dat   7  3    5  21           9       3     0
../v3/data/data3-8-1.dat   8   3   5  24           8       4     0
../v3/data/data3-8-2.dat   8   3   5  24          10       4 0.196
../v3/data/data3-8-3.dat   8   3   5  24           9       4     0
